3068	nalcs_w8d2_NV_DIG_g3	terrorsq	Dardouche destroying c9	0	1489871694876
3069	nalcs_w8d2_NV_DIG_g3	derokker	LUL	0	1489871698357
3070	nalcs_w8d2_NV_DIG_g3	bestyorickeu	Whisper me horse nudes pls ty	0	1489871698826
3071	nalcs_w8d2_NV_DIG_g3	layb0y		0	1489871703250
3072	nalcs_w8d2_NV_DIG_g3	op_brian	time for Gonzaga too lose now Kappa	0	1489871716244
3073	nalcs_w8d2_NV_DIG_g3	min3pirate	this isn't Dongnitas Kappa	0	1489871717339
3074	nalcs_w8d2_NV_DIG_g3	iammeni	nova wasn't even expected to get far, the bracket they had was stupidly hard for a 1 seed	0	1489871745050
3075	nalcs_w8d2_NV_DIG_g3	marcmerriil		0	1489871745428
3076	nalcs_w8d2_NV_DIG_g3	my_mom_is_your_dad	Kreygasm EMMA WATSON LEAKS Kreygasm	0	1489871746502
3077	nalcs_w8d2_NV_DIG_g3	betasigmapi	KEANE KILLER GAZE	0	1489871749753
3078	nalcs_w8d2_NV_DIG_g3	regulate_cx	TriHard	0	1489871755231
3079	nalcs_w8d2_NV_DIG_g3	likeitwhentheyscream	no first pick lulu FailFish	0	1489871761353
3080	nalcs_w8d2_NV_DIG_g3	marcmerriil		0	1489871768434
3081	nalcs_w8d2_NV_DIG_g3	regulate_cx	HE SAID IT TriHard	0	1489871775311
3082	nalcs_w8d2_NV_DIG_g3	marcmerriil	NlGER	0	1489871783093
3083	nalcs_w8d2_NV_DIG_g3	regulate_cx	TriHard !	0	1489871790505
3084	nalcs_w8d2_NV_DIG_g3	dakota_88	DIG TriHard TAS	0	1489871792520
3085	nalcs_w8d2_NV_DIG_g3	layb0y		0	1489871799319
3086	nalcs_w8d2_NV_DIG_g3	small13999		0	1489871800536
3087	nalcs_w8d2_NV_DIG_g3	natso2001	I don't think NV understands how broken Lulu is right now	0	1489871801654
3088	nalcs_w8d2_NV_DIG_g3	derokker	LUL	0	1489871801921
3089	nalcs_w8d2_NV_DIG_g3	marcmerriil	Sorry guys, Phreak took over my Twitch account	0	1489871804437
